idLoc,idProv,nomLoc,nomZona
11476,5,Dragones,SAN MARTIN
11477,5,El Cienego,SAN MARTIN
11478,5,El Espinillo,SAN MARTIN
11479,5,Emboscada,SAN MARTIN
11480,5,Hickmann,SAN MARTIN
11481,5,Los Blancos,RIVADAVIA
11482,5,Los Ranchillos,RIVADAVIA
11483,5,Luna Muerta,SAN MARTIN
11484,5,Media Luna,RIVADAVIA
11485,5,Mision Chaqueña,SAN MARTIN
11486,5,Misiones,RIVADAVIA
11487,5,Mistol Mareado,RIVADAVIA
11488,5,Mistolar,SAN MARTIN
11489,5,Monte Carmelo,SAN MARTIN
11490,5,Morillo,RIVADAVIA
11491,5,Pedro Lozano,SAN MARTIN
11492,5,Pluma Del Pato,RIVADAVIA
11493,5,Pozo Bravo,SAN MARTIN
11494,5,Resistencia,RIVADAVIA
11495,5,San Patricio,RIVADAVIA
11496,5,Santa Clara,RIVADAVIA
11497,5,Suri Pintado,RIVADAVIA
11498,5,Tabaco Cimarron,SAN MARTIN
11499,5,Tres Pozos,RIVADAVIA
11500,5,Angostura,SAN MARTIN
11501,5,Guamachi,SAN MARTIN
11502,5,Manuela Pedraza,SAN MARTIN
11503,5,San Pedro,ROSARIO DE LA FRONETRA
11504,5,Tartagal,SAN MARTIN
11505,5,Tonono,SAN MARTIN
11506,5,Villa Saavedra,SAN MARTIN
11507,5,Yariguarenda,SAN MARTIN
11508,5,Alto De La Sierra,RIVADAVIA
11509,5,Amberes,RIVADAVIA
11510,5,Hito 1,RIVADAVIA
11511,5,La China,RIVADAVIA
11512,5,La Paz Puerto,RIVADAVIA
11513,5,Mision La Paz,RIVADAVIA
11514,5,San Bernardo,RIVADAVIA
11515,5,Santa Maria,RIVADAVIA
11516,5,Santa Victoria Este,RIVADAVIA
11517,5,General Enrique Mosconi,SAN MARTIN
11518,5,Kilometro 1398,SAN MARTIN
11519,5,Las Lomitas,SAN MARTIN
11520,5,San Miguel,RIVADAVIA
11521,5,Vespucio,SAN MARTIN
11522,5,Caminera San Pedrito,SAN MARTIN
11523,5,Campamento Tablilla,SAN MARTIN
11524,5,Campamento Vespucio,SAN MARTIN
11525,5,El Aguay,SAN MARTIN
11526,5,Recaredo,SAN MARTIN
11527,5,Kilometro 1448,SAN MARTIN
11528,5,Piquirenda,SAN MARTIN
11529,5,Tobantirenda,SAN MARTIN
11530,5,Yacuy,SAN MARTIN
11531,5,Aguaray,SAN MARTIN
11532,5,Campo Duran,SAN MARTIN
11533,5,Itiyuro,SAN MARTIN
11534,5,Macueta,SAN MARTIN
11535,5,Rio Carapan,SAN MARTIN
11536,5,Acambuco,SAN MARTIN
11537,5,Pocitos(Mazza),SAN MARTIN
11538,4,Alto La Viña,CAPITAL
11539,4,Atalaya,SAN ANTONIO
11540,4,Bajo La Viña,CAPITAL
11541,4,Chijra,CAPITAL
11542,4,Chuquina,CAPITAL
11543,4,El Algarrobal,CAPITAL
11544,4,El Amancay,CAPITAL
11545,4,El Cucho,CAPITAL
11546,4,Guerrero,CAPITAL
